Season,Date,LeftTeam,LeftScore,RightScore,RightTeam,Overtime
2010-2011,2010-11-03,Orlando Magic,128,86,Minnesota Timberwolves,0OT
2010-2011,2010-11-03,Philadelphia 76ers,101,75,Indiana Pacers,0OT
2010-2011,2010-11-03,Boston Celtics,105,102,Milwaukee Bucks,1OT
2010-2011,2010-11-03,Houston Rockets,99,107,New Orleans Pelicans,0OT
2010-2011,2010-11-03,Denver Nuggets,101,102,Dallas Mavericks,0OT
2010-2011,2010-11-03,Utah Jazz,125,108,Toronto Raptors,0OT
2010-2011,2010-11-03,Phoenix Suns,110,112,San Antonio Spurs,0OT
2010-2011,2010-11-03,Golden State Warriors,115,109,Memphis Grizzlies,0OT
2010-2011,2010-11-03,Los Angeles Clippers,107,92,Oklahoma City Thunder,0OT
2010-2011,2010-11-03,Sacramento Kings,100,112,Los Angeles Lakers,0OT
2010-2011,2010-11-04,Chicago Bulls,112,120,New York Knicks,0OT
2010-2011,2010-11-04,Portland Trail Blazers,106,107,Oklahoma City Thunder,1OT
2010-2011,2010-11-05,Indiana Pacers,90,94,Milwaukee Bucks,0OT
2010-2011,2010-11-05,Orlando Magic,105,90,Brooklyn Nets,0OT
2010-2011,2010-11-05,Philadelphia 76ers,116,123,Cleveland Cavaliers,0OT
2010-2011,2010-11-05,Detroit Pistons,97,90,Charlotte Hornets,0OT
2010-2011,2010-11-05,New York Knicks,112,91,Washington Wizards,0OT
2010-2011,2010-11-05,Boston Celtics,110,105,Chicago Bulls,1OT
2010-2011,2010-11-05,Minnesota Timberwolves,103,113,Atlanta Hawks,0OT
2010-2011,2010-11-05,New Orleans Pelicans,96,93,Miami Heat,0OT
2010-2011,2010-11-05,Phoenix Suns,123,118,Memphis Grizzlies,2OT
2010-2011,2010-11-05,Denver Nuggets,111,104,Los Angeles Clippers,0OT
2010-2011,2010-11-05,Golden State Warriors,85,78,Utah Jazz,0OT
2010-2011,2010-11-05,Los Angeles Lakers,108,103,Toronto Raptors,0OT
2010-2011,2010-11-06,Charlotte Hornets,88,91,Orlando Magic,0OT
2010-2011,2010-11-06,Washington Wizards,102,107,Cleveland Cavaliers,0OT
2010-2011,2010-11-06,Miami Heat,101,89,Brooklyn Nets,0OT
2010-2011,2010-11-06,Milwaukee Bucks,81,87,New Orleans Pelicans,0OT
2010-2011,2010-11-06,San Antonio Spurs,124,121,Houston Rockets,1OT
2010-2011,2010-11-06,Dallas Mavericks,92,103,Denver Nuggets,0OT
2010-2011,2010-11-06,Utah Jazz,109,107,Los Angeles Clippers,2OT
2010-2011,2010-11-06,Portland Trail Blazers,97,84,Toronto Raptors,0OT
2010-2011,2010-11-06,Sacramento Kings,91,100,Memphis Grizzlies,0OT
2010-2011,2010-11-07,New York Knicks,96,106,Philadelphia 76ers,0OT
2010-2011,2010-11-07,Atlanta Hawks,114,118,Phoenix Suns,0OT
2010-2011,2010-11-07,Detroit Pistons,102,97,Golden State Warriors,0OT
2010-2011,2010-11-07,Houston Rockets,120,94,Minnesota Timberwolves,0OT
2010-2011,2010-11-07,Oklahoma City Thunder,83,92,Boston Celtics,0OT
2010-2011,2010-11-07,Los Angeles Lakers,121,96,Portland Trail Blazers,0OT
2010-2011,2010-11-08,Charlotte Hornets,91,95,San Antonio Spurs,0OT
2010-2011,2010-11-08,Orlando Magic,93,89,Atlanta Hawks,0OT
2010-2011,2010-11-08,Toronto Raptors,102,109,Golden State Warriors,0OT
2010-2011,2010-11-08,Chicago Bulls,94,92,Denver Nuggets,0OT
2010-2011,2010-11-08,Memphis Grizzlies,109,99,Phoenix Suns,0OT
2010-2011,2010-11-08,Dallas Mavericks,89,87,Boston Celtics,0OT
2010-2011,2010-11-09,Indiana Pacers,144,113,Denver Nuggets,0OT
2010-2011,2010-11-09,Brooklyn Nets,91,93,Cleveland Cavaliers,0OT
2010-2011,2010-11-09,Miami Heat,114,116,Utah Jazz,1OT
2010-2011,2010-11-09,Milwaukee Bucks,107,80,New York Knicks,0OT
2010-2011,2010-11-09,New Orleans Pelicans,101,82,Los Angeles Clippers,0OT
2010-2011,2010-11-09,Portland Trail Blazers,100,78,Detroit Pistons,0OT
2010-2011,2010-11-09,Los Angeles Lakers,99,94,Minnesota Timberwolves,0OT
2010-2011,2010-11-10,Atlanta Hawks,91,108,Milwaukee Bucks,0OT
2010-2011,2010-11-10,Orlando Magic,94,104,Utah Jazz,0OT
2010-2011,2010-11-10,Toronto Raptors,96,101,Charlotte Hornets,0OT
2010-2011,2010-11-10,Washington Wizards,98,91,Houston Rockets,0OT
2010-2011,2010-11-10,Cleveland Cavaliers,87,95,Brooklyn Nets,0OT
2010-2011,2010-11-10,New York Knicks,117,122,Golden State Warriors,0OT
2010-2011,2010-11-10,Memphis Grizzlies,91,106,Dallas Mavericks,0OT
2010-2011,2010-11-10,Oklahoma City Thunder,109,103,Philadelphia 76ers,0OT
2010-2011,2010-11-10,San Antonio Spurs,107,95,Los Angeles Clippers,0OT
2010-2011,2010-11-10,Sacramento Kings,89,98,Minnesota Timberwolves,0OT
2010-2011,2010-11-11,Chicago Bulls,120,90,Golden State Warriors,0OT
2010-2011,2010-11-11,Miami Heat,107,112,Boston Celtics,0OT
2010-2011,2010-11-11,Denver Nuggets,118,112,Los Angeles Lakers,0OT
2010-2011,2010-11-12,Atlanta Hawks,86,90,Utah Jazz,0OT
2010-2011,2010-11-12,Indiana Pacers,99,102,Houston Rockets,0OT
2010-2011,2010-11-12,Orlando Magic,106,110,Toronto Raptors,0OT
2010-2011,2010-11-12,Washington Wizards,85,93,Charlotte Hornets,0OT
2010-2011,2010-11-12,Minnesota Timberwolves,112,103,New York Knicks,0OT
2010-2011,2010-11-12,Dallas Mavericks,99,90,Philadelphia 76ers,0OT
2010-2011,2010-11-12,Phoenix Suns,103,89,Sacramento Kings,0OT
2010-2011,2010-11-12,Oklahoma City Thunder,110,108,Portland Trail Blazers,0OT
2010-2011,2010-11-12,Los Angeles Clippers,107,113,Detroit Pistons,1OT
2010-2011,2010-11-13,Charlotte Hornets,95,96,Utah Jazz,0OT
2010-2011,2010-11-13,Brooklyn Nets,90,91,Orlando Magic,0OT
2010-2011,2010-11-13,Cleveland Cavaliers,85,99,Indiana Pacers,0OT
2010-2011,2010-11-13,Miami Heat,109,100,Toronto Raptors,0OT
2010-2011,2010-11-13,Chicago Bulls,103,96,Washington Wizards,0OT
2010-2011,2010-11-13,Memphis Grizzlies,110,116,Boston Celtics,1OT
2010-2011,2010-11-13,New Orleans Pelicans,107,87,Portland Trail Blazers,0OT
2010-2011,2010-11-13,Milwaukee Bucks,79,72,Golden State Warriors,0OT
2010-2011,2010-11-13,San Antonio Spurs,116,93,Philadelphia 76ers,0OT
2010-2011,2010-11-14,Atlanta Hawks,111,105,Minnesota Timberwolves,0OT
2010-2011,2010-11-14,Sacramento Kings,94,100,Detroit Pistons,0OT
2010-2011,2010-11-14,Oklahoma City Thunder,104,117,San Antonio Spurs,0OT
2010-2011,2010-11-14,New York Knicks,96,104,Houston Rockets,0OT
2010-2011,2010-11-14,Los Angeles Lakers,116,121,Phoenix Suns,0OT
2010-2011,2010-11-15,Charlotte Hornets,113,110,Minnesota Timberwolves,0OT
2010-2011,2010-11-15,Orlando Magic,89,72,Memphis Grizzlies,0OT
2010-2011,2010-11-15,Dallas Mavericks,98,95,New Orleans Pelicans,0OT
2010-2011,2010-11-15,Phoenix Suns,100,94,Denver Nuggets,0OT
2010-2011,2010-11-15,Utah Jazz,108,115,Oklahoma City Thunder,0OT
2010-2011,2010-11-15,Golden State Warriors,101,97,Detroit Pistons,0OT
2010-2011,2010-11-15,Los Angeles Clippers,96,110,Brooklyn Nets,0OT
2010-2011,2010-11-16,Cleveland Cavaliers,101,93,Philadelphia 76ers,0OT
2010-2011,2010-11-16,Indiana Pacers,92,102,Atlanta Hawks,0OT
2010-2011,2010-11-16,Washington Wizards,109,94,Toronto Raptors,0OT
2010-2011,2010-11-16,Memphis Grizzlies,99,100,Portland Trail Blazers,0OT
2010-2011,2010-11-16,Milwaukee Bucks,107,118,Los Angeles Lakers,0OT
2010-2011,2010-11-16,Houston Rockets,92,95,Chicago Bulls,0OT
2010-2011,2010-11-16,Denver Nuggets,120,118,New York Knicks,0OT
2010-2011,2010-11-17,Miami Heat,123,96,Phoenix Suns,0OT
2010-2011,2010-11-17,Philadelphia 76ers,86,94,Toronto Raptors,0OT
2010-2011,2010-11-17,Boston Celtics,114,83,Washington Wizards,0OT
2010-2011,2010-11-17,Detroit Pistons,90,103,Los Angeles Lakers,0OT
2010-2011,2010-11-17,Minnesota Timberwolves,113,111,Los Angeles Clippers,0OT
2010-2011,2010-11-17,New Orleans Pelicans,99,97,Dallas Mavericks,0OT
2010-2011,2010-11-17,Oklahoma City Thunder,116,99,Houston Rockets,0OT
2010-2011,2010-11-17,Utah Jazz,98,88,Brooklyn Nets,0OT
2010-2011,2010-11-17,San Antonio Spurs,103,94,Chicago Bulls,0OT
2010-2011,2010-11-17,Sacramento Kings,106,113,New York Knicks,0OT
2010-2011,2010-11-18,Indiana Pacers,107,80,Los Angeles Clippers,0OT
2010-2011,2010-11-18,Orlando Magic,105,89,Phoenix Suns,0OT
2010-2011,2010-11-18,Portland Trail Blazers,86,83,Denver Nuggets,0OT
2010-2011,2010-11-19,Boston Celtics,84,89,Oklahoma City Thunder,0OT
2010-2011,2010-11-19,Philadelphia 76ers,90,79,Milwaukee Bucks,0OT
2010-2011,2010-11-19,Toronto Raptors,106,96,Houston Rockets,0OT
2010-2011,2010-11-19,Washington Wizards,89,86,Memphis Grizzlies,0OT
2010-2011,2010-11-19,Miami Heat,95,87,Charlotte Hornets,0OT
2010-2011,2010-11-19,Minnesota Timberwolves,95,112,Los Angeles Lakers,0OT
2010-2011,2010-11-19,New Orleans Pelicans,108,101,Cleveland Cavaliers,0OT
2010-2011,2010-11-19,Utah Jazz,82,94,San Antonio Spurs,0OT
2010-2011,2010-11-19,Dallas Mavericks,83,88,Chicago Bulls,0OT
2010-2011,2010-11-19,Sacramento Kings,86,81,Brooklyn Nets,0OT
2010-2011,2010-11-19,Golden State Warriors,119,125,New York Knicks,0OT
2010-2011,2010-11-20,Charlotte Hornets,123,105,Phoenix Suns,0OT
2010-2011,2010-11-20,Indiana Pacers,86,90,Orlando Magic,0OT
2010-2011,2010-11-20,Atlanta Hawks,93,98,Dallas Mavericks,0OT
2010-2011,2010-11-20,Memphis Grizzlies,97,95,Miami Heat,0OT
2010-2011,2010-11-20,Milwaukee Bucks,81,82,Oklahoma City Thunder,0OT
2010-2011,2010-11-20,San Antonio Spurs,116,92,Cleveland Cavaliers,0OT
2010-2011,2010-11-20,Denver Nuggets,107,103,Brooklyn Nets,0OT
2010-2011,2010-11-20,Portland Trail Blazers,94,103,Utah Jazz,0OT
2010-2011,2010-11-20,Los Angeles Clippers,115,124,New York Knicks,0OT
2010-2011,2010-11-21,Toronto Raptors,102,101,Boston Celtics,0OT
2010-2011,2010-11-21,Detroit Pistons,115,110,Washington Wizards,1OT
2010-2011,2010-11-21,Sacramento Kings,71,75,New Orleans Pelicans,0OT
2010-2011,2010-11-21,Los Angeles Lakers,117,89,Golden State Warriors,0OT
2010-2011,2010-11-22,Atlanta Hawks,76,99,Boston Celtics,0OT
2010-2011,2010-11-22,Miami Heat,77,93,Indiana Pacers,0OT
2010-2011,2010-11-22,Oklahoma City Thunder,117,107,Minnesota Timberwolves,0OT
2010-2011,2010-11-22,Houston Rockets,116,123,Phoenix Suns,0OT
2010-2011,2010-11-22,San Antonio Spurs,106,97,Orlando Magic,0OT
2010-2011,2010-11-22,Utah Jazz,94,83,Sacramento Kings,0OT
2010-2011,2010-11-22,Golden State Warriors,89,106,Denver Nuggets,0OT
2010-2011,2010-11-22,Los Angeles Clippers,99,95,New Orleans Pelicans,0OT
2010-2011,2010-11-23,Indiana Pacers,100,89,Cleveland Cavaliers,0OT
2010-2011,2010-11-23,Brooklyn Nets,107,101,Atlanta Hawks,1OT
2010-2011,2010-11-23,Washington Wizards,116,114,Philadelphia 76ers,1OT
2010-2011,2010-11-23,New York Knicks,110,107,Charlotte Hornets,0OT
2010-2011,2010-11-23,Dallas Mavericks,88,84,Detroit Pistons,0OT
2010-2011,2010-11-23,Los Angeles Lakers,98,91,Chicago Bulls,0OT
2010-2011,2010-11-24,Charlotte Hornets,95,99,New York Knicks,0OT
2010-2011,2010-11-24,Cleveland Cavaliers,83,81,Milwaukee Bucks,0OT
2010-2011,2010-11-24,Toronto Raptors,106,90,Philadelphia 76ers,0OT
2010-2011,2010-11-24,Boston Celtics,89,83,Brooklyn Nets,0OT
2010-2011,2010-11-24,Orlando Magic,104,95,Miami Heat,0OT
2010-2011,2010-11-24,Memphis Grizzlies,105,84,Detroit Pistons,0OT
2010-2011,2010-11-24,Minnesota Timberwolves,109,113,San Antonio Spurs,1OT
2010-2011,2010-11-24,Oklahoma City Thunder,103,111,Dallas Mavericks,0OT
2010-2011,2010-11-24,Houston Rockets,111,101,Golden State Warriors,0OT
2010-2011,2010-11-24,Phoenix Suns,115,123,Chicago Bulls,2OT
2010-2011,2010-11-24,Utah Jazz,105,87,New Orleans Pelicans,0OT
2010-2011,2010-11-25,Atlanta Hawks,116,96,Washington Wizards,0OT
2010-2011,2010-11-25,Los Angeles Clippers,100,82,Sacramento Kings,0OT
2010-2011,2010-11-26,Charlotte Hornets,99,89,Houston Rockets,0OT
2010-2011,2010-11-26,Orlando Magic,111,100,Cleveland Cavaliers,0OT
2010-2011,2010-11-26,Boston Celtics,110,101,Toronto Raptors,0OT
2010-2011,2010-11-26,Detroit Pistons,103,89,Milwaukee Bucks,0OT
2010-2011,2010-11-26,Miami Heat,99,90,Philadelphia 76ers,0OT
2010-2011,2010-11-26,Indiana Pacers,106,110,Oklahoma City Thunder,1OT
2010-2011,2010-11-26,San Antonio Spurs,94,103,Dallas Mavericks,0OT
2010-2011,2010-11-26,Denver Nuggets,98,97,Chicago Bulls,0OT
2010-2011,2010-11-26,Phoenix Suns,116,108,Los Angeles Clippers,0OT
2010-2011,2010-11-26,Utah Jazz,102,96,Los Angeles Lakers,0OT
2010-2011,2010-11-26,Memphis Grizzlies,116,111,Golden State Warriors,0OT
2010-2011,2010-11-26,Portland Trail Blazers,78,97,New Orleans Pelicans,0OT
2010-2011,2010-11-27,New York Knicks,90,99,Atlanta Hawks,0OT
2010-2011,2010-11-27,Washington Wizards,99,100,Orlando Magic,0OT
2010-2011,2010-11-27,Cleveland Cavaliers,92,86,Memphis Grizzlies,0OT
2010-2011,2010-11-27,Philadelphia 76ers,102,86,Brooklyn Nets,0OT
2010-2011,2010-11-27,Minnesota Timberwolves,94,104,Golden State Warriors,0OT
2010-2011,2010-11-27,Dallas Mavericks,106,95,Miami Heat,0OT
2010-2011,2010-11-27,Milwaukee Bucks,104,101,Charlotte Hornets,0OT
2010-2011,2010-11-27,Sacramento Kings,85,96,Chicago Bulls,0OT
2010-2011,2010-11-28,Toronto Raptors,78,96,Atlanta Hawks,0OT
2010-2011,2010-11-28,Detroit Pistons,116,125,New York Knicks,2OT
2010-2011,2010-11-28,New Orleans Pelicans,95,109,San Antonio Spurs,0OT
2010-2011,2010-11-28,Los Angeles Clippers,97,109,Utah Jazz,0OT
2010-2011,2010-11-28,Houston Rockets,99,98,Oklahoma City Thunder,0OT
2010-2011,2010-11-28,Brooklyn Nets,98,96,Portland Trail Blazers,0OT
2010-2011,2010-11-28,Denver Nuggets,138,133,Phoenix Suns,0OT
2010-2011,2010-11-28,Los Angeles Lakers,92,95,Indiana Pacers,0OT
2010-2011,2010-11-29,Miami Heat,105,94,Washington Wizards,0OT
2010-2011,2010-11-29,Oklahoma City Thunder,95,89,New Orleans Pelicans,0OT
2010-2011,2010-11-29,Dallas Mavericks,101,91,Houston Rockets,0OT
2010-2011,2010-11-29,Utah Jazz,109,88,Milwaukee Bucks,0OT
2010-2011,2010-11-30,Cleveland Cavaliers,87,106,Boston Celtics,0OT
2010-2011,2010-11-30,Orlando Magic,90,79,Detroit Pistons,0OT
2010-2011,2010-11-30,Philadelphia 76ers,88,79,Portland Trail Blazers,0OT
2010-2011,2010-11-30,New York Knicks,111,100,Brooklyn Nets,0OT
2010-2011,2010-11-30,Memphis Grizzlies,98,96,Los Angeles Lakers,0OT
2010-2011,2010-11-30,Sacramento Kings,98,107,Indiana Pacers,0OT
2010-2011,2010-11-30,Golden State Warriors,98,118,San Antonio Spurs,0OT
2010-2011,2010-12-01,Atlanta Hawks,112,109,Memphis Grizzlies,0OT
2010-2011,2010-12-01,Brooklyn Nets,120,123,Oklahoma City Thunder,3OT
2010-2011,2010-12-01,Toronto Raptors,127,108,Washington Wizards,0OT
2010-2011,2010-12-01,Boston Celtics,99,95,Portland Trail Blazers,0OT
2010-2011,2010-12-01,Miami Heat,97,72,Detroit Pistons,0OT
2010-2011,2010-12-01,Chicago Bulls,78,107,Orlando Magic,0OT
2010-2011,2010-12-01,New Orleans Pelicans,89,73,Charlotte Hornets,0OT
2010-2011,2010-12-01,Dallas Mavericks,100,86,Minnesota Timberwolves,0OT
2010-2011,2010-12-01,Houston Rockets,109,99,Los Angeles Lakers,0OT
2010-2011,2010-12-01,Denver Nuggets,105,94,Milwaukee Bucks,0OT
2010-2011,2010-12-01,Utah Jazz,110,88,Indiana Pacers,0OT
2010-2011,2010-12-01,Los Angeles Clippers,90,85,San Antonio Spurs,0OT
2010-2011,2010-12-02,Cleveland Cavaliers,90,118,Miami Heat,0OT
2010-2011,2010-12-02,Golden State Warriors,101,107,Phoenix Suns,0OT
2010-2011,2010-12-03,Charlotte Hornets,91,84,Brooklyn Nets,1OT
2010-2011,2010-12-03,Toronto Raptors,111,99,Oklahoma City Thunder,0OT
2010-2011,2010-12-03,Washington Wizards,83,79,Portland Trail Blazers,0OT
2010-2011,2010-12-03,Atlanta Hawks,93,88,Philadelphia 76ers,0OT
2010-2011,2010-12-03,Detroit Pistons,91,104,Orlando Magic,0OT
2010-2011,2010-12-03,Boston Celtics,104,92,Chicago Bulls,0OT
2010-2011,2010-12-03,Memphis Grizzlies,111,127,Houston Rockets,0OT
2010-2011,2010-12-03,New Orleans Pelicans,92,100,New York Knicks,0OT
2010-2011,2010-12-03,San Antonio Spurs,107,101,Minnesota Timberwolves,0OT
2010-2011,2010-12-03,Denver Nuggets,109,104,Los Angeles Clippers,0OT
2010-2011,2010-12-03,Phoenix Suns,105,97,Indiana Pacers,0OT
2010-2011,2010-12-03,Los Angeles Lakers,113,80,Sacramento Kings,0OT
2010-2011,2010-12-03,Utah Jazz,81,93,Dallas Mavericks,0OT
2010-2011,2010-12-04,Miami Heat,89,77,Atlanta Hawks,0OT
2010-2011,2010-12-04,Philadelphia 76ers,109,91,Charlotte Hornets,0OT
2010-2011,2010-12-04,Chicago Bulls,119,116,Houston Rockets,1OT
2010-2011,2010-12-04,Minnesota Timberwolves,129,95,Cleveland Cavaliers,0OT
2010-2011,2010-12-04,Milwaukee Bucks,96,85,Orlando Magic,0OT
2010-2011,2010-12-04,Sacramento Kings,103,105,Dallas Mavericks,0OT
2010-2011,2010-12-05,Brooklyn Nets,75,100,Boston Celtics,0OT
2010-2011,2010-12-05,Toronto Raptors,99,116,New York Knicks,0OT
2010-2011,2010-12-05,Detroit Pistons,102,92,Cleveland Cavaliers,0OT
2010-2011,2010-12-05,Oklahoma City Thunder,114,109,Golden State Warriors,0OT
2010-2011,2010-12-05,San Antonio Spurs,109,84,New Orleans Pelicans,0OT
2010-2011,2010-12-05,Denver Nuggets,108,107,Memphis Grizzlies,0OT
2010-2011,2010-12-05,Phoenix Suns,125,108,Washington Wizards,0OT
2010-2011,2010-12-05,Portland Trail Blazers,100,91,Los Angeles Clippers,0OT
2010-2011,2010-12-06,Indiana Pacers,124,100,Toronto Raptors,0OT
2010-2011,2010-12-06,Orlando Magic,74,80,Atlanta Hawks,0OT
2010-2011,2010-12-06,New York Knicks,121,114,Minnesota Timberwolves,0OT
2010-2011,2010-12-06,Chicago Bulls,99,90,Oklahoma City Thunder,0OT
2010-2011,2010-12-06,Milwaukee Bucks,78,88,Miami Heat,0OT
2010-2011,2010-12-06,Utah Jazz,94,85,Memphis Grizzlies,0OT
2010-2011,2010-12-06,Los Angeles Clippers,98,91,Sacramento Kings,0OT
2010-2011,2010-12-07,Atlanta Hawks,116,101,Brooklyn Nets,0OT
2010-2011,2010-12-07,Charlotte Hornets,100,98,Denver Nuggets,0OT
2010-2011,2010-12-07,Philadelphia 76ers,117,97,Cleveland Cavaliers,0OT
2010-2011,2010-12-07,Dallas Mavericks,105,100,Golden State Warriors,0OT
2010-2011,2010-12-07,Houston Rockets,97,83,Detroit Pistons,0OT
2010-2011,2010-12-07,Portland Trail Blazers,106,99,Phoenix Suns,0OT
2010-2011,2010-12-07,Los Angeles Lakers,115,108,Washington Wizards,0OT
2010-2011,2010-12-08,Boston Celtics,105,89,Denver Nuggets,0OT
2010-2011,2010-12-08,Cleveland Cavaliers,83,88,Chicago Bulls,0OT
2010-2011,2010-12-08,New York Knicks,113,110,Toronto Raptors,0OT
2010-2011,2010-12-08,Milwaukee Bucks,97,95,Indiana Pacers,0OT
2010-2011,2010-12-08,Minnesota Timberwolves,103,111,Oklahoma City Thunder,0OT
2010-2011,2010-12-08,New Orleans Pelicans,93,74,Detroit Pistons,0OT
2010-2011,2010-12-08,San Antonio Spurs,111,94,Golden State Warriors,0OT
2010-2011,2010-12-08,Phoenix Suns,98,104,Memphis Grizzlies,1OT
2010-2011,2010-12-08,Utah Jazz,98,111,Miami Heat,0OT
2010-2011,2010-12-08,Sacramento Kings,116,91,Washington Wizards,0OT
2010-2011,2010-12-08,Los Angeles Clippers,86,87,Los Angeles Lakers,0OT
2010-2011,2010-12-09,Philadelphia 76ers,101,102,Boston Celtics,0OT
2010-2011,2010-12-09,Dallas Mavericks,102,89,Brooklyn Nets,0OT
2010-2011,2010-12-09,Portland Trail Blazers,97,83,Orlando Magic,0OT
2010-2011,2010-12-10,Indiana Pacers,100,92,Charlotte Hornets,0OT
2010-2011,2010-12-10,Toronto Raptors,116,123,Denver Nuggets,0OT
2010-2011,2010-12-10,Washington Wizards,95,101,New York Knicks,0OT
2010-2011,2010-12-10,Chicago Bulls,88,84,Los Angeles Lakers,0OT
2010-2011,2010-12-10,Minnesota Timberwolves,109,99,Detroit Pistons,0OT
2010-2011,2010-12-10,New Orleans Pelicans,92,97,Oklahoma City Thunder,0OT
2010-2011,2010-12-10,Milwaukee Bucks,97,91,Houston Rockets,0OT
2010-2011,2010-12-10,San Antonio Spurs,108,92,Atlanta Hawks,0OT
2010-2011,2010-12-10,Phoenix Suns,94,101,Portland Trail Blazers,0OT
2010-2011,2010-12-10,Utah Jazz,117,105,Orlando Magic,0OT
2010-2011,2010-12-10,Golden State Warriors,84,106,Miami Heat,0OT
2010-2011,2010-12-11,Los Angeles Clippers,83,84,Memphis Grizzlies,0OT
2010-2011,2010-12-11,Atlanta Hawks,97,83,Indiana Pacers,0OT
2010-2011,2010-12-11,Charlotte Hornets,62,93,Boston Celtics,0OT
2010-2011,2010-12-11,Detroit Pistons,116,120,Toronto Raptors,0OT
2010-2011,2010-12-11,Chicago Bulls,113,82,Minnesota Timberwolves,0OT
2010-2011,2010-12-11,Dallas Mavericks,103,97,Utah Jazz,0OT
2010-2011,2010-12-11,Houston Rockets,110,95,Cleveland Cavaliers,0OT
2010-2011,2010-12-11,Sacramento Kings,83,104,Miami Heat,0OT
2010-2011,2010-12-12,New York Knicks,129,125,Denver Nuggets,0OT
2010-2011,2010-12-12,Philadelphia 76ers,88,70,New Orleans Pelicans,0OT
2010-2011,2010-12-12,Brooklyn Nets,92,99,Los Angeles Lakers,0OT
2010-2011,2010-12-12,San Antonio Spurs,95,78,Portland Trail Blazers,0OT
2010-2011,2010-12-12,Oklahoma City Thunder,106,77,Cleveland Cavaliers,0OT
2010-2011,2010-12-12,Los Angeles Clippers,85,94,Orlando Magic,0OT
2010-2011,2010-12-13,Miami Heat,96,84,New Orleans Pelicans,0OT
2010-2011,2010-12-13,Chicago Bulls,92,73,Indiana Pacers,0OT
2010-2011,2010-12-13,Memphis Grizzlies,86,73,Portland Trail Blazers,0OT
2010-2011,2010-12-13,Dallas Mavericks,99,103,Milwaukee Bucks,0OT
2010-2011,2010-12-13,Utah Jazz,108,95,Golden State Warriors,0OT
2010-2011,2010-12-14,Charlotte Hornets,97,91,Toronto Raptors,0OT
2010-2011,2010-12-14,Brooklyn Nets,77,82,Philadelphia 76ers,0OT
2010-2011,2010-12-14,Washington Wizards,89,103,Los Angeles Lakers,0OT
2010-2011,2010-12-14,Detroit Pistons,103,80,Atlanta Hawks,0OT
2010-2011,2010-12-14,Houston Rockets,118,105,Sacramento Kings,0OT
2010-2011,2010-12-14,Denver Nuggets,111,94,Orlando Magic,0OT
2010-2011,2010-12-14,Golden State Warriors,108,99,Minnesota Timberwolves,0OT
2010-2011,2010-12-15,Indiana Pacers,94,109,Los Angeles Lakers,0OT
2010-2011,2010-12-15,New York Knicks,116,118,Boston Celtics,0OT
2010-2011,2010-12-15,Philadelphia 76ers,105,91,Los Angeles Clippers,0OT
2010-2011,2010-12-15,Toronto Raptors,93,110,Chicago Bulls,0OT
2010-2011,2010-12-15,Miami Heat,101,95,Cleveland Cavaliers,0OT
2010-2011,2010-12-15,Memphis Grizzlies,113,80,Charlotte Hornets,0OT
2010-2011,2010-12-15,New Orleans Pelicans,94,91,Sacramento Kings,0OT
2010-2011,2010-12-15,Oklahoma City Thunder,117,105,Houston Rockets,0OT
2010-2011,2010-12-15,San Antonio Spurs,92,90,Milwaukee Bucks,0OT
2010-2011,2010-12-15,Phoenix Suns,128,122,Minnesota Timberwolves,0OT
2010-2011,2010-12-15,Dallas Mavericks,103,98,Portland Trail Blazers,0OT
2010-2011,2010-12-16,Brooklyn Nets,97,89,Washington Wizards,0OT
2010-2011,2010-12-16,Boston Celtics,102,90,Atlanta Hawks,0OT
2010-2011,2010-12-16,Denver Nuggets,112,113,San Antonio Spurs,0OT
2010-2011,2010-12-17,Indiana Pacers,108,99,Cleveland Cavaliers,0OT
2010-2011,2010-12-17,New York Knicks,91,113,Miami Heat,0OT
2010-2011,2010-12-17,Philadelphia 76ers,81,93,Los Angeles Lakers,0OT
2010-2011,2010-12-17,Toronto Raptors,98,92,Brooklyn Nets,0OT
2010-2011,2010-12-17,Atlanta Hawks,90,85,Charlotte Hornets,0OT
2010-2011,2010-12-17,Detroit Pistons,88,109,Los Angeles Clippers,0OT
2010-2011,2010-12-17,New Orleans Pelicans,100,71,Utah Jazz,0OT
2010-2011,2010-12-17,Oklahoma City Thunder,102,87,Sacramento Kings,0OT
2010-2011,2010-12-17,Houston Rockets,103,87,Memphis Grizzlies,0OT
2010-2011,2010-12-17,Dallas Mavericks,106,91,Phoenix Suns,0OT
2010-2011,2010-12-17,Portland Trail Blazers,107,102,Minnesota Timberwolves,0OT
2010-2011,2010-12-18,Orlando Magic,89,97,Philadelphia 76ers,0OT
2010-2011,2010-12-18,Washington Wizards,94,95,Miami Heat,0OT
2010-2011,2010-12-18,Cleveland Cavaliers,109,102,New York Knicks,1OT
2010-2011,2010-12-18,Chicago Bulls,99,100,Los Angeles Clippers,0OT
2010-2011,2010-12-18,Milwaukee Bucks,86,95,Utah Jazz,0OT
2010-2011,2010-12-18,San Antonio Spurs,112,106,Memphis Grizzlies,1OT
2010-2011,2010-12-18,Denver Nuggets,115,113,Minnesota Timberwolves,0OT
2010-2011,2010-12-18,Portland Trail Blazers,96,95,Golden State Warriors,0OT
2010-2011,2010-12-19,Boston Celtics,99,88,Indiana Pacers,0OT
2010-2011,2010-12-19,Brooklyn Nets,89,82,Atlanta Hawks,0OT
