Season,Date,LeftTeam,LeftScore,RightScore,RightTeam,home_win_percentage,away_win_percentage
2005-2006,2006-03-26,Portland Trail Blazers,83,97,Los Angeles Clippers,0.2898550724637681,0.5882352941176471
2005-2006,2006-03-26,Sacramento Kings,83,90,Golden State Warriors,0.5072463768115942,0.43283582089552236
2005-2006,2006-03-26,Oklahoma City Thunder,106,102,San Antonio Spurs,0.39705882352941174,0.782608695652174
2005-2006,2006-03-26,Los Angeles Lakers,105,94,New Orleans Pelicans,0.5211267605633803,0.47761194029850745
2005-2006,2006-03-27,Miami Heat,96,91,Indiana Pacers,0.6666666666666666,0.5147058823529411
2005-2006,2006-03-27,Brooklyn Nets,110,72,Phoenix Suns,0.5882352941176471,0.6911764705882353
2005-2006,2006-03-27,Utah Jazz,104,80,New Orleans Pelicans,0.463768115942029,0.47058823529411764
2005-2006,2006-03-27,Golden State Warriors,98,116,Washington Wizards,0.4411764705882353,0.5147058823529411
2005-2006,2006-03-28,Charlotte Hornets,125,117,Atlanta Hawks,0.2676056338028169,0.3088235294117647
2005-2006,2006-03-28,Detroit Pistons,97,90,Dallas Mavericks,0.7971014492753623,0.7714285714285715
2005-2006,2006-03-28,Memphis Grizzlies,97,98,Oklahoma City Thunder,0.5857142857142857,0.4057971014492754
2005-2006,2006-03-28,Milwaukee Bucks,132,110,Phoenix Suns,0.5,0.6811594202898551
2005-2006,2006-03-28,Chicago Bulls,93,97,Orlando Magic,0.44285714285714284,0.38571428571428573
2005-2006,2006-03-28,Sacramento Kings,84,97,Washington Wizards,0.5,0.5217391304347826
2005-2006,2006-03-28,Los Angeles Clippers,87,98,San Antonio Spurs,0.5942028985507246,0.7714285714285715
2005-2006,2006-03-29,Atlanta Hawks,94,93,Indiana Pacers,0.30434782608695654,0.5072463768115942
2005-2006,2006-03-29,Cleveland Cavaliers,107,94,Dallas Mavericks,0.5857142857142857,0.7605633802816901
2005-2006,2006-03-29,Toronto Raptors,94,98,Miami Heat,0.37142857142857144,0.6714285714285714
2005-2006,2006-03-29,Brooklyn Nets,86,74,Memphis Grizzlies,0.5942028985507246,0.5774647887323944
2005-2006,2006-03-29,New York Knicks,98,123,Boston Celtics,0.2753623188405797,0.4084507042253521
2005-2006,2006-03-29,Philadelphia 76ers,91,101,Detroit Pistons,0.463768115942029,0.8
2005-2006,2006-03-29,Minnesota Timberwolves,103,91,Orlando Magic,0.4142857142857143,0.39436619718309857
2005-2006,2006-03-29,Houston Rockets,115,87,Oklahoma City Thunder,0.42857142857142855,0.4142857142857143
2005-2006,2006-03-29,Denver Nuggets,104,115,Utah Jazz,0.5633802816901409,0.4714285714285714
2005-2006,2006-03-29,Portland Trail Blazers,90,106,Sacramento Kings,0.2857142857142857,0.49295774647887325
2005-2006,2006-03-29,Golden State Warriors,85,86,New Orleans Pelicans,0.43478260869565216,0.463768115942029
2005-2006,2006-03-30,Indiana Pacers,104,114,Phoenix Suns,0.5,0.6714285714285714
2005-2006,2006-03-30,Los Angeles Lakers,85,96,San Antonio Spurs,0.5277777777777778,0.7746478873239436
2005-2006,2006-03-31,Atlanta Hawks,88,91,Brooklyn Nets,0.3142857142857143,0.6
2005-2006,2006-03-31,Orlando Magic,108,99,Dallas Mavericks,0.3888888888888889,0.75
2005-2006,2006-03-31,Toronto Raptors,126,140,Phoenix Suns,0.36619718309859156,0.676056338028169
2005-2006,2006-03-31,Charlotte Hornets,107,113,Chicago Bulls,0.2777777777777778,0.43661971830985913
2005-2006,2006-03-31,New York Knicks,112,117,Philadelphia 76ers,0.2714285714285714,0.45714285714285713
2005-2006,2006-03-31,Detroit Pistons,112,105,Milwaukee Bucks,0.8028169014084507,0.5070422535211268
2005-2006,2006-03-31,New Orleans Pelicans,107,102,Memphis Grizzlies,0.4714285714285714,0.5694444444444444
2005-2006,2006-03-31,Houston Rockets,105,103,Washington Wizards,0.43661971830985913,0.5285714285714286
2005-2006,2006-03-31,Denver Nuggets,106,94,Minnesota Timberwolves,0.5555555555555556,0.4225352112676056
2005-2006,2006-03-31,Golden State Warriors,93,96,Sacramento Kings,0.42857142857142855,0.5
2005-2006,2006-03-31,Los Angeles Clippers,106,91,Utah Jazz,0.5857142857142857,0.4788732394366197
2005-2006,2006-03-31,Oklahoma City Thunder,93,106,Los Angeles Lakers,0.4084507042253521,0.5205479452054794
2005-2006,2006-04-01,Cleveland Cavaliers,106,99,Miami Heat,0.5915492957746479,0.676056338028169
2005-2006,2006-04-01,Chicago Bulls,100,94,Boston Celtics,0.4444444444444444,0.4166666666666667
2005-2006,2006-04-01,Milwaukee Bucks,96,89,Indiana Pacers,0.5,0.49295774647887325
2005-2006,2006-04-01,San Antonio Spurs,106,99,Washington Wizards,0.7777777777777778,0.5211267605633803
2005-2006,2006-04-01,Portland Trail Blazers,89,102,Utah Jazz,0.28169014084507044,0.4722222222222222
2005-2006,2006-04-02,Detroit Pistons,109,102,Phoenix Suns,0.8055555555555556,0.6805555555555556
2005-2006,2006-04-02,Dallas Mavericks,103,79,Denver Nuggets,0.7397260273972602,0.5616438356164384
2005-2006,2006-04-02,Los Angeles Lakers,104,88,Houston Rockets,0.527027027027027,0.4444444444444444
2005-2006,2006-04-02,Minnesota Timberwolves,106,104,Golden State Warriors,0.4166666666666667,0.4225352112676056
2005-2006,2006-04-02,Memphis Grizzlies,98,87,Atlanta Hawks,0.5616438356164384,0.30985915492957744
2005-2006,2006-04-02,Charlotte Hornets,97,101,Cleveland Cavaliers,0.273972602739726,0.5972222222222222
2005-2006,2006-04-02,Brooklyn Nets,90,78,Miami Heat,0.6056338028169014,0.6666666666666666
2005-2006,2006-04-02,Philadelphia 76ers,114,95,New York Knicks,0.4647887323943662,0.2676056338028169
2005-2006,2006-04-02,Toronto Raptors,113,120,New Orleans Pelicans,0.3611111111111111,0.4788732394366197
2005-2006,2006-04-02,Sacramento Kings,106,96,Los Angeles Clippers,0.5068493150684932,0.5915492957746479
2005-2006,2006-04-02,Oklahoma City Thunder,122,83,Portland Trail Blazers,0.4027777777777778,0.2777777777777778
2005-2006,2006-04-04,Cleveland Cavaliers,124,91,Philadelphia 76ers,0.6027397260273972,0.4722222222222222
2005-2006,2006-04-04,Toronto Raptors,120,124,Boston Celtics,0.3561643835616438,0.410958904109589
2005-2006,2006-04-04,Washington Wizards,105,90,New York Knicks,0.5138888888888888,0.2638888888888889
2005-2006,2006-04-04,Charlotte Hornets,97,92,Minnesota Timberwolves,0.2702702702702703,0.4246575342465753
2005-2006,2006-04-04,Detroit Pistons,101,93,New Orleans Pelicans,0.8082191780821918,0.4861111111111111
2005-2006,2006-04-04,Miami Heat,115,89,Milwaukee Bucks,0.6575342465753424,0.5068493150684932
2005-2006,2006-04-04,Brooklyn Nets,96,94,Atlanta Hawks,0.6111111111111112,0.3055555555555556
2005-2006,2006-04-04,Memphis Grizzlies,100,75,Golden State Warriors,0.5675675675675675,0.4166666666666667
2005-2006,2006-04-04,Chicago Bulls,102,96,Indiana Pacers,0.4520547945205479,0.4861111111111111
2005-2006,2006-04-04,Dallas Mavericks,127,101,Sacramento Kings,0.7432432432432432,0.5135135135135135
2005-2006,2006-04-04,Utah Jazz,86,95,San Antonio Spurs,0.4794520547945205,0.7808219178082192
2005-2006,2006-04-04,Oklahoma City Thunder,104,87,Houston Rockets,0.410958904109589,0.4383561643835616
2005-2006,2006-04-04,Los Angeles Clippers,111,109,Denver Nuggets,0.5833333333333334,0.5540540540540541
2005-2006,2006-04-05,Atlanta Hawks,101,99,Minnesota Timberwolves,0.3013698630136986,0.4189189189189189
2005-2006,2006-04-05,Boston Celtics,91,108,Washington Wizards,0.4189189189189189,0.5205479452054794
2005-2006,2006-04-05,Indiana Pacers,111,103,Toronto Raptors,0.4794520547945205,0.35135135135135137
2005-2006,2006-04-05,Orlando Magic,108,105,Milwaukee Bucks,0.3972602739726027,0.5
2005-2006,2006-04-05,Philadelphia 76ers,92,99,Chicago Bulls,0.4657534246575342,0.4594594594594595
2005-2006,2006-04-05,New York Knicks,96,94,Cleveland Cavaliers,0.2602739726027397,0.6081081081081081
2005-2006,2006-04-05,New Orleans Pelicans,114,109,Golden State Warriors,0.4794520547945205,0.410958904109589
2005-2006,2006-04-05,San Antonio Spurs,87,97,Sacramento Kings,0.7837837837837838,0.5066666666666667
2005-2006,2006-04-05,Phoenix Suns,105,119,Los Angeles Clippers,0.6712328767123288,0.589041095890411
2005-2006,2006-04-05,Portland Trail Blazers,76,75,Houston Rockets,0.273972602739726,0.43243243243243246
2005-2006,2006-04-06,Brooklyn Nets,113,102,Charlotte Hornets,0.6164383561643836,0.28
2005-2006,2006-04-06,Miami Heat,82,95,Detroit Pistons,0.6621621621621622,0.8108108108108109
2005-2006,2006-04-06,Denver Nuggets,110,108,Los Angeles Lakers,0.5466666666666666,0.5333333333333333
2005-2006,2006-04-07,Atlanta Hawks,114,101,Washington Wizards,0.3108108108108108,0.527027027027027
2005-2006,2006-04-07,Orlando Magic,89,87,Detroit Pistons,0.40540540540540543,0.8133333333333334
2005-2006,2006-04-07,Philadelphia 76ers,99,109,Boston Celtics,0.4594594594594595,0.41333333333333333
2005-2006,2006-04-07,Memphis Grizzlies,100,90,Milwaukee Bucks,0.5733333333333334,0.49333333333333335
2005-2006,2006-04-07,Minnesota Timberwolves,95,103,Utah Jazz,0.41333333333333333,0.47297297297297297
2005-2006,2006-04-07,New Orleans Pelicans,95,89,Toronto Raptors,0.4864864864864865,0.3466666666666667
2005-2006,2006-04-07,New York Knicks,98,96,Indiana Pacers,0.2702702702702703,0.4864864864864865
2005-2006,2006-04-07,San Antonio Spurs,86,92,Dallas Mavericks,0.7733333333333333,0.7466666666666667
2005-2006,2006-04-07,Portland Trail Blazers,108,121,Oklahoma City Thunder,0.28378378378378377,0.4189189189189189
2005-2006,2006-04-07,Golden State Warriors,93,100,Houston Rockets,0.40540540540540543,0.4266666666666667
2005-2006,2006-04-07,Los Angeles Clippers,93,96,Sacramento Kings,0.5945945945945946,0.5131578947368421
2005-2006,2006-04-07,Phoenix Suns,107,96,Los Angeles Lakers,0.6621621621621622,0.5263157894736842
2005-2006,2006-04-08,Brooklyn Nets,102,108,Cleveland Cavaliers,0.6216216216216216,0.6
2005-2006,2006-04-08,Washington Wizards,86,99,Miami Heat,0.52,0.6533333333333333
2005-2006,2006-04-08,Chicago Bulls,75,89,Philadelphia 76ers,0.4666666666666667,0.4533333333333333
2005-2006,2006-04-08,Dallas Mavericks,101,77,New Orleans Pelicans,0.75,0.49333333333333335
2005-2006,2006-04-08,Denver Nuggets,95,92,Golden State Warriors,0.5526315789473685,0.4
2005-2006,2006-04-08,Utah Jazz,110,93,Portland Trail Blazers,0.48,0.28
2005-2006,2006-04-09,Detroit Pistons,98,73,Indiana Pacers,0.8026315789473685,0.48
2005-2006,2006-04-09,Milwaukee Bucks,83,95,Brooklyn Nets,0.4868421052631579,0.6133333333333333
2005-2006,2006-04-09,Minnesota Timberwolves,84,83,Atlanta Hawks,0.40789473684210525,0.32
2005-2006,2006-04-09,Toronto Raptors,88,94,Charlotte Hornets,0.34210526315789475,0.27631578947368424
2005-2006,2006-04-09,Boston Celtics,86,101,New York Knicks,0.42105263157894735,0.28
2005-2006,2006-04-09,Miami Heat,84,93,Orlando Magic,0.6578947368421053,0.41333333333333333
2005-2006,2006-04-09,San Antonio Spurs,83,81,Memphis Grizzlies,0.7631578947368421,0.5789473684210527
2005-2006,2006-04-09,Sacramento Kings,86,77,Houston Rockets,0.5194805194805194,0.4342105263157895
2005-2006,2006-04-09,Oklahoma City Thunder,116,114,Phoenix Suns,0.4266666666666667,0.6666666666666666
2005-2006,2006-04-09,Los Angeles Lakers,100,83,Los Angeles Clippers,0.5194805194805194,0.5866666666666667
2005-2006,2006-04-10,Indiana Pacers,101,82,New York Knicks,0.47368421052631576,0.2894736842105263
2005-2006,2006-04-10,Orlando Magic,105,88,Atlanta Hawks,0.42105263157894735,0.3157894736842105
2005-2006,2006-04-10,Philadelphia 76ers,105,97,Washington Wizards,0.4605263157894737,0.5131578947368421
2005-2006,2006-04-10,New Orleans Pelicans,101,103,Cleveland Cavaliers,0.4868421052631579,0.6052631578947368
2005-2006,2006-04-10,Utah Jazz,85,83,Houston Rockets,0.4868421052631579,0.42857142857142855
2005-2006,2006-04-10,Portland Trail Blazers,98,110,Denver Nuggets,0.27631578947368424,0.5584415584415584
2005-2006,2006-04-10,Los Angeles Clippers,73,75,Dallas Mavericks,0.5789473684210527,0.7532467532467533
2005-2006,2006-04-11,Miami Heat,106,97,Toronto Raptors,0.6493506493506493,0.33766233766233766
2005-2006,2006-04-11,Memphis Grizzlies,92,76,Minnesota Timberwolves,0.5714285714285714,0.4155844155844156
2005-2006,2006-04-11,Chicago Bulls,104,101,Brooklyn Nets,0.4605263157894737,0.618421052631579
2005-2006,2006-04-11,San Antonio Spurs,104,95,Oklahoma City Thunder,0.7662337662337663,0.4342105263157895
2005-2006,2006-04-11,Sacramento Kings,110,123,Phoenix Suns,0.5256410256410257,0.6578947368421053
2005-2006,2006-04-11,Los Angeles Lakers,111,100,Golden State Warriors,0.5256410256410257,0.39473684210526316
2005-2006,2006-04-12,Atlanta Hawks,90,96,Chicago Bulls,0.3116883116883117,0.4675324675324675
2005-2006,2006-04-12,Indiana Pacers,117,112,Boston Celtics,0.4805194805194805,0.4155844155844156
2005-2006,2006-04-12,Orlando Magic,103,96,Toronto Raptors,0.42857142857142855,0.3333333333333333
2005-2006,2006-04-12,Charlotte Hornets,88,96,Memphis Grizzlies,0.2857142857142857,0.5769230769230769
2005-2006,2006-04-12,Brooklyn Nets,96,116,Philadelphia 76ers,0.6103896103896104,0.4675324675324675
2005-2006,2006-04-12,Detroit Pistons,96,73,Cleveland Cavaliers,0.8051948051948052,0.6103896103896104
2005-2006,2006-04-12,Milwaukee Bucks,100,97,Washington Wizards,0.4805194805194805,0.5064935064935064
2005-2006,2006-04-12,New Orleans Pelicans,104,99,Oklahoma City Thunder,0.4805194805194805,0.42857142857142855
2005-2006,2006-04-12,Houston Rockets,79,82,Minnesota Timberwolves,0.4230769230769231,0.41025641025641024
2005-2006,2006-04-12,Utah Jazz,104,83,Denver Nuggets,0.4935064935064935,0.5641025641025641
2005-2006,2006-04-12,Golden State Warriors,114,102,Dallas Mavericks,0.38961038961038963,0.7564102564102564
2005-2006,2006-04-12,Los Angeles Clippers,97,93,Portland Trail Blazers,0.5714285714285714,0.2727272727272727
2005-2006,2006-04-13,Cleveland Cavaliers,91,87,New York Knicks,0.6025641025641025,0.2857142857142857
2005-2006,2006-04-13,San Antonio Spurs,80,92,Orlando Magic,0.7692307692307693,0.4358974358974359
2005-2006,2006-04-13,Phoenix Suns,117,104,Dallas Mavericks,0.6623376623376623,0.7468354430379747
2005-2006,2006-04-14,Atlanta Hawks,110,116,Charlotte Hornets,0.3076923076923077,0.28205128205128205
2005-2006,2006-04-14,Toronto Raptors,108,103,Detroit Pistons,0.3291139240506329,0.8076923076923077
2005-2006,2006-04-14,Boston Celtics,74,79,Brooklyn Nets,0.41025641025641024,0.6025641025641025
2005-2006,2006-04-14,Miami Heat,104,85,Philadelphia 76ers,0.6538461538461539,0.47435897435897434
2005-2006,2006-04-14,New York Knicks,80,97,Milwaukee Bucks,0.28205128205128205,0.48717948717948717
2005-2006,2006-04-14,Chicago Bulls,103,101,Washington Wizards,0.47435897435897434,0.5
2005-2006,2006-04-14,Indiana Pacers,89,77,Minnesota Timberwolves,0.48717948717948717,0.4177215189873418
2005-2006,2006-04-14,New Orleans Pelicans,104,105,Utah Jazz,0.48717948717948717,0.5
2005-2006,2006-04-14,Golden State Warriors,110,102,Phoenix Suns,0.3974358974358974,0.6666666666666666
2005-2006,2006-04-14,Los Angeles Lakers,110,99,Portland Trail Blazers,0.5316455696202531,0.2692307692307692
2005-2006,2006-04-14,Oklahoma City Thunder,97,101,Los Angeles Clippers,0.4230769230769231,0.5769230769230769
2005-2006,2006-04-15,Orlando Magic,102,97,Philadelphia 76ers,0.4430379746835443,0.46835443037974683
2005-2006,2006-04-15,Charlotte Hornets,92,91,Indiana Pacers,0.2911392405063291,0.4936708860759494
2005-2006,2006-04-15,Houston Rockets,81,93,Memphis Grizzlies,0.4177215189873418,0.5822784810126582
2005-2006,2006-04-15,Milwaukee Bucks,114,120,Atlanta Hawks,0.4936708860759494,0.3037974683544304
2005-2006,2006-04-15,Denver Nuggets,82,100,Sacramento Kings,0.5569620253164557,0.5189873417721519
2005-2006,2006-04-15,Portland Trail Blazers,81,86,Golden State Warriors,0.26582278481012656,0.4050632911392405
2005-2006,2006-04-16,Miami Heat,93,117,Chicago Bulls,0.6582278481012658,0.4810126582278481
2005-2006,2006-04-16,Los Angeles Lakers,109,89,Phoenix Suns,0.5375,0.6582278481012658
2005-2006,2006-04-16,Detroit Pistons,103,97,New York Knicks,0.7974683544303798,0.27848101265822783
2005-2006,2006-04-16,Minnesota Timberwolves,90,103,San Antonio Spurs,0.4125,0.759493670886076
2005-2006,2006-04-16,Washington Wizards,104,92,Cleveland Cavaliers,0.4936708860759494,0.6075949367088608
2005-2006,2006-04-16,Brooklyn Nets,95,93,Boston Celtics,0.6075949367088608,0.4050632911392405
2005-2006,2006-04-16,Dallas Mavericks,111,95,Utah Jazz,0.7375,0.5063291139240507
2005-2006,2006-04-16,Los Angeles Clippers,98,114,Oklahoma City Thunder,0.5822784810126582,0.4177215189873418
2005-2006,2006-04-16,Sacramento Kings,96,79,New Orleans Pelicans,0.525,0.4810126582278481
2005-2006,2006-04-17,Orlando Magic,112,116,Chicago Bulls,0.45,0.4875
2005-2006,2006-04-17,Toronto Raptors,95,120,Indiana Pacers,0.3375,0.4875
2005-2006,2006-04-17,Boston Celtics,88,93,Cleveland Cavaliers,0.4,0.6
2005-2006,2006-04-17,New York Knicks,91,98,Charlotte Hornets,0.275,0.3
2005-2006,2006-04-17,Milwaukee Bucks,113,93,Detroit Pistons,0.4875,0.8
2005-2006,2006-04-17,San Antonio Spurs,115,82,Utah Jazz,0.7625,0.5
2005-2006,2006-04-17,Denver Nuggets,83,86,Houston Rockets,0.55,0.4125
2005-2006,2006-04-17,Phoenix Suns,115,78,New Orleans Pelicans,0.65,0.475
2005-2006,2006-04-17,Golden State Warriors,93,79,Portland Trail Blazers,0.4125,0.2625
2005-2006,2006-04-18,Atlanta Hawks,103,100,Miami Heat,0.3125,0.65
2005-2006,2006-04-18,Philadelphia 76ers,91,88,Brooklyn Nets,0.4625,0.6125
2005-2006,2006-04-18,Washington Wizards,116,103,Milwaukee Bucks,0.5,0.49382716049382713
2005-2006,2006-04-18,Memphis Grizzlies,101,95,Los Angeles Clippers,0.5875,0.575
2005-2006,2006-04-18,Sacramento Kings,111,105,Oklahoma City Thunder,0.5308641975308642,0.425
2005-2006,2006-04-19,Cleveland Cavaliers,100,99,Atlanta Hawks,0.6049382716049383,0.32098765432098764
2005-2006,2006-04-19,Indiana Pacers,89,83,Orlando Magic,0.49382716049382713,0.4444444444444444
2005-2006,2006-04-19,Boston Celtics,85,78,Miami Heat,0.3950617283950617,0.6419753086419753
2005-2006,2006-04-19,Charlotte Hornets,96,86,Philadelphia 76ers,0.30864197530864196,0.4691358024691358
2005-2006,2006-04-19,Detroit Pistons,80,96,Washington Wizards,0.7901234567901234,0.5061728395061729
2005-2006,2006-04-19,Brooklyn Nets,83,90,New York Knicks,0.6049382716049383,0.2716049382716049
2005-2006,2006-04-19,Dallas Mavericks,71,85,Los Angeles Clippers,0.7407407407407407,0.5679012345679012
2005-2006,2006-04-19,Houston Rockets,87,89,San Antonio Spurs,0.41975308641975306,0.7654320987654321
2005-2006,2006-04-19,Minnesota Timberwolves,92,102,Memphis Grizzlies,0.4074074074074074,0.5925925925925926
2005-2006,2006-04-19,Chicago Bulls,127,106,Toronto Raptors,0.49382716049382713,0.3333333333333333
2005-2006,2006-04-19,Utah Jazz,105,102,Golden State Warriors,0.49382716049382713,0.41975308641975306
2005-2006,2006-04-19,Portland Trail Blazers,96,106,Phoenix Suns,0.25925925925925924,0.654320987654321
2005-2006,2006-04-19,Los Angeles Lakers,115,95,New Orleans Pelicans,0.5432098765432098,0.4691358024691358
2005-2006,2006-04-19,Oklahoma City Thunder,109,98,Denver Nuggets,0.41975308641975306,0.5432098765432098
2006-2007,2006-10-31,Miami Heat,66,108,Chicago Bulls,0.0,0.0
2006-2007,2006-10-31,Los Angeles Lakers,114,106,Phoenix Suns,0.0,0.0
2006-2007,2006-11-01,Charlotte Hornets,99,106,Indiana Pacers,0.0,0.0
2006-2007,2006-11-01,Orlando Magic,109,94,Chicago Bulls,0.0,1.0
2006-2007,2006-11-01,Philadelphia 76ers,88,75,Atlanta Hawks,0.0,0.0
2006-2007,2006-11-01,Boston Celtics,87,91,New Orleans Pelicans,0.0,0.0
2006-2007,2006-11-01,Brooklyn Nets,102,92,Toronto Raptors,0.0,0.0
2006-2007,2006-11-01,Cleveland Cavaliers,97,94,Washington Wizards,0.0,0.0
2006-2007,2006-11-01,Detroit Pistons,97,105,Milwaukee Bucks,0.0,0.0
2006-2007,2006-11-01,Memphis Grizzlies,117,118,New York Knicks,0.0,0.0
2006-2007,2006-11-01,Minnesota Timberwolves,92,83,Sacramento Kings,0.0,0.0
2006-2007,2006-11-01,Utah Jazz,107,97,Houston Rockets,0.0,0.0
2006-2007,2006-11-01,Oklahoma City Thunder,106,110,Portland Trail Blazers,0.0,0.0
2006-2007,2006-11-01,Golden State Warriors,98,110,Los Angeles Lakers,0.0,1.0
2006-2007,2006-11-01,Phoenix Suns,112,104,Los Angeles Clippers,0.0,0.0
2006-2007,2006-11-02,Dallas Mavericks,91,97,San Antonio Spurs,0.0,0.0
2006-2007,2006-11-02,Los Angeles Clippers,96,95,Denver Nuggets,0.0,0.0
2006-2007,2006-11-03,Indiana Pacers,91,100,New Orleans Pelicans,1.0,1.0
2006-2007,2006-11-03,Orlando Magic,103,105,Philadelphia 76ers,1.0,1.0
2006-2007,2006-11-03,Toronto Raptors,109,92,Milwaukee Bucks,0.0,1.0
2006-2007,2006-11-03,Atlanta Hawks,102,92,New York Knicks,0.0,1.0
2006-2007,2006-11-03,Boston Celtics,88,101,Detroit Pistons,0.0,0.0
2006-2007,2006-11-03,Miami Heat,91,85,Brooklyn Nets,0.0,1.0
2006-2007,2006-11-03,Memphis Grizzlies,96,83,Charlotte Hornets,0.0,0.0
2006-2007,2006-11-03,San Antonio Spurs,81,88,Cleveland Cavaliers,1.0,1.0
2006-2007,2006-11-03,Chicago Bulls,88,89,Sacramento Kings,0.5,0.0
2006-2007,2006-11-03,Denver Nuggets,109,112,Minnesota Timberwolves,0.0,1.0
2006-2007,2006-11-03,Phoenix Suns,104,108,Utah Jazz,0.5,1.0
2006-2007,2006-11-03,Golden State Warriors,102,89,Portland Trail Blazers,0.0,1.0
2006-2007,2006-11-03,Los Angeles Lakers,118,112,Oklahoma City Thunder,1.0,0.0
2006-2007,2006-11-04,Charlotte Hornets,92,88,Cleveland Cavaliers,0.0,1.0
2006-2007,2006-11-04,Washington Wizards,124,117,Boston Celtics,0.0,0.0
2006-2007,2006-11-04,Detroit Pistons,95,86,Memphis Grizzlies,0.5,0.5
2006-2007,2006-11-04,New York Knicks,95,109,Indiana Pacers,0.5,0.5
2006-2007,2006-11-04,Houston Rockets,107,76,Dallas Mavericks,0.0,0.0
2006-2007,2006-11-04,Milwaukee Bucks,104,91,Sacramento Kings,0.5,0.5
2006-2007,2006-11-04,Utah Jazz,106,82,Golden State Warriors,1.0,0.5
2006-2007,2006-11-04,Portland Trail Blazers,88,86,Minnesota Timberwolves,0.5,1.0
2006-2007,2006-11-04,Los Angeles Clippers,114,108,Phoenix Suns,0.5,0.3333333333333333
2006-2007,2006-11-05,Toronto Raptors,94,103,San Antonio Spurs,0.5,0.5
2006-2007,2006-11-05,Atlanta Hawks,95,82,Orlando Magic,0.5,0.5
2006-2007,2006-11-05,Philadelphia 76ers,107,98,Miami Heat,1.0,0.5
2006-2007,2006-11-05,New Orleans Pelicans,96,90,Houston Rockets,1.0,0.5
2006-2007,2006-11-05,Oklahoma City Thunder,117,101,Los Angeles Lakers,0.0,1.0
2006-2007,2006-11-06,Orlando Magic,106,103,Washington Wizards,0.3333333333333333,0.5
2006-2007,2006-11-06,New York Knicks,93,105,San Antonio Spurs,0.3333333333333333,0.6666666666666666
2006-2007,2006-11-06,Chicago Bulls,110,85,Milwaukee Bucks,0.3333333333333333,0.6666666666666666
2006-2007,2006-11-06,Dallas Mavericks,104,107,Golden State Warriors,0.0,0.3333333333333333
2006-2007,2006-11-06,Utah Jazz,103,101,Detroit Pistons,1.0,0.6666666666666666
2006-2007,2006-11-06,Sacramento Kings,93,81,Minnesota Timberwolves,0.3333333333333333,0.6666666666666666
2006-2007,2006-11-06,Los Angeles Clippers,102,89,Portland Trail Blazers,0.6666666666666666,0.6666666666666666
2006-2007,2006-11-07,Cleveland Cavaliers,95,104,Atlanta Hawks,0.6666666666666666,0.6666666666666666
2006-2007,2006-11-07,Indiana Pacers,97,86,Philadelphia 76ers,0.6666666666666666,1.0
2006-2007,2006-11-07,Miami Heat,90,87,Oklahoma City Thunder,0.3333333333333333,0.3333333333333333
2006-2007,2006-11-07,Memphis Grizzlies,80,86,Houston Rockets,0.3333333333333333,0.3333333333333333
2006-2007,2006-11-07,New Orleans Pelicans,97,93,Golden State Warriors,1.0,0.5
2006-2007,2006-11-07,Los Angeles Lakers,95,88,Minnesota Timberwolves,0.75,0.5
2006-2007,2006-11-08,Orlando Magic,88,87,Oklahoma City Thunder,0.5,0.25
2006-2007,2006-11-08,Toronto Raptors,106,104,Philadelphia 76ers,0.3333333333333333,0.75
2006-2007,2006-11-08,Washington Wizards,117,91,Indiana Pacers,0.3333333333333333,0.75
2006-2007,2006-11-08,Boston Celtics,110,108,Charlotte Hornets,0.0,0.3333333333333333
2006-2007,2006-11-08,Brooklyn Nets,96,89,Utah Jazz,0.5,1.0
2006-2007,2006-11-08,Milwaukee Bucks,93,97,Houston Rockets,0.5,0.5
2006-2007,2006-11-08,San Antonio Spurs,111,106,Phoenix Suns,0.75,0.25
2006-2007,2006-11-08,Denver Nuggets,107,109,New York Knicks,0.0,0.25
2006-2007,2006-11-08,Portland Trail Blazers,101,90,Los Angeles Lakers,0.5,0.8
2006-2007,2006-11-08,Los Angeles Clippers,103,85,Dallas Mavericks,0.75,0.0
2006-2007,2006-11-08,Sacramento Kings,99,86,Detroit Pistons,0.5,0.5
2006-2007,2006-11-09,Cleveland Cavaliers,113,94,Chicago Bulls,0.5,0.5
2006-2007,2006-11-09,Golden State Warriors,121,116,New Orleans Pelicans,0.4,1.0
2006-2007,2006-11-09,Phoenix Suns,112,119,Dallas Mavericks,0.2,0.0
2006-2007,2006-11-10,Charlotte Hornets,85,99,Oklahoma City Thunder,0.25,0.2
2006-2007,2006-11-10,Indiana Pacers,93,83,Orlando Magic,0.6,0.6
2006-2007,2006-11-10,Philadelphia 76ers,101,108,Denver Nuggets,0.6,0.0
2006-2007,2006-11-10,Toronto Raptors,102,111,Atlanta Hawks,0.5,0.75
2006-2007,2006-11-10,Washington Wizards,116,111,Milwaukee Bucks,0.5,0.4
2006-2007,2006-11-10,Boston Celtics,100,107,Utah Jazz,0.25,0.8
2006-2007,2006-11-10,Brooklyn Nets,106,113,Miami Heat,0.6666666666666666,0.5
2006-2007,2006-11-10,Houston Rockets,103,94,New York Knicks,0.6,0.4
2006-2007,2006-11-10,Portland Trail Blazers,92,91,New Orleans Pelicans,0.6,0.8
2006-2007,2006-11-10,Los Angeles Lakers,83,97,Detroit Pistons,0.6666666666666666,0.4
2006-2007,2006-11-11,Atlanta Hawks,112,113,Oklahoma City Thunder,0.8,0.3333333333333333
