Season,Date,LeftTeam,LeftScore,RightScore,RightTeam,Overtime,Left_B2B,Right_B2B,Left_EWMA_7,Right_EWMA_7,Left_EWMA_28,Right_EWMA_28
2004-2005,2004-11-02,Detroit Pistons,87,79,Houston Rockets,0OT,0,0,0.0,0.0,0.0,0.0
2004-2005,2004-11-02,Dallas Mavericks,107,98,Sacramento Kings,0OT,0,0,0.0,0.0,0.0,0.0
2004-2005,2004-11-02,Los Angeles Lakers,89,78,Denver Nuggets,0OT,0,0,0.0,0.0,0.0,0.0
2004-2005,2004-11-03,Cleveland Cavaliers,104,109,Indiana Pacers,2OT,0,0,0.0,0.0,0.0,0.0
2004-2005,2004-11-03,Orlando Magic,93,92,Milwaukee Bucks,0OT,0,0,0.0,0.0,0.0,0.0
2004-2005,2004-11-03,Toronto Raptors,95,88,Houston Rockets,0OT,0,1,0.0,12.0,0.0,3.310344827586207
2004-2005,2004-11-03,Boston Celtics,95,98,Philadelphia 76ers,0OT,0,0,0.0,0.0,0.0,0.0
2004-2005,2004-11-03,Memphis Grizzlies,91,103,Washington Wizards,0OT,0,0,0.0,0.0,0.0,0.0
2004-2005,2004-11-03,Minnesota Timberwolves,99,93,New York Knicks,0OT,0,0,0.0,0.0,0.0,0.0
2004-2005,2004-11-03,Brooklyn Nets,77,100,Miami Heat,0OT,0,0,0.0,0.0,0.0,0.0
2004-2005,2004-11-03,New Orleans Pelicans,91,106,Dallas Mavericks,0OT,0,1,0.0,12.0,0.0,3.310344827586207
2004-2005,2004-11-03,San Antonio Spurs,101,85,Sacramento Kings,0OT,0,1,0.0,12.0,0.0,3.310344827586207
2004-2005,2004-11-03,Phoenix Suns,112,82,Atlanta Hawks,0OT,0,0,0.0,0.0,0.0,0.0
2004-2005,2004-11-03,Golden State Warriors,75,78,Portland Trail Blazers,0OT,0,0,0.0,0.0,0.0,0.0
2004-2005,2004-11-03,Los Angeles Clippers,114,84,Oklahoma City Thunder,0OT,0,0,0.0,0.0,0.0,0.0
2004-2005,2004-11-03,Utah Jazz,104,78,Los Angeles Lakers,0OT,0,1,0.0,12.0,0.0,3.310344827586207
2004-2005,2004-11-04,Charlotte Hornets,96,103,Washington Wizards,0OT,0,1,0.0,12.0,0.0,3.310344827586207
2004-2005,2004-11-04,Miami Heat,92,86,Cleveland Cavaliers,0OT,1,1,12.0,14.5,3.310344827586207,4.0
2004-2005,2004-11-04,Denver Nuggets,94,92,Minnesota Timberwolves,1OT,0,1,9.0,12.0,3.082045184304399,3.310344827586207
2004-2005,2004-11-05,Philadelphia 76ers,98,108,Phoenix Suns,0OT,0,0,9.0,9.0,3.082045184304399,3.082045184304399
2004-2005,2004-11-05,Toronto Raptors,101,89,Detroit Pistons,0OT,0,0,9.0,6.75,3.082045184304399,2.869490344007544
2004-2005,2004-11-05,Boston Celtics,94,100,Indiana Pacers,0OT,0,0,9.0,10.875,3.082045184304399,3.7241379310344827
2004-2005,2004-11-05,Memphis Grizzlies,81,89,Houston Rockets,0OT,0,0,9.0,15.75,3.082045184304399,5.951535528311944
2004-2005,2004-11-05,New Orleans Pelicans,89,90,Orlando Magic,0OT,0,0,9.0,9.0,3.082045184304399,3.082045184304399
2004-2005,2004-11-05,Chicago Bulls,106,111,Brooklyn Nets,2OT,0,0,0.0,9.0,0.0,3.082045184304399
2004-2005,2004-11-05,Portland Trail Blazers,94,81,Los Angeles Clippers,0OT,0,0,9.0,9.0,3.082045184304399,3.082045184304399
2004-2005,2004-11-05,Golden State Warriors,80,102,Utah Jazz,0OT,0,0,9.0,9.0,3.082045184304399,3.082045184304399
2004-2005,2004-11-05,Los Angeles Lakers,96,105,San Antonio Spurs,0OT,0,0,15.75,9.0,5.951535528311944,3.082045184304399
2004-2005,2004-11-05,Oklahoma City Thunder,106,85,Atlanta Hawks,0OT,0,0,9.0,9.0,3.082045184304399,3.082045184304399
2004-2005,2004-11-06,Charlotte Hornets,111,100,Orlando Magic,0OT,0,1,9.0,18.75,3.082045184304399,6.179835171593751
2004-2005,2004-11-06,Washington Wizards,106,118,Miami Heat,0OT,0,0,15.75,15.75,5.951535528311944,5.951535528311944
2004-2005,2004-11-06,Detroit Pistons,99,91,Philadelphia 76ers,0OT,1,1,17.0625,18.75,5.981939285800127,6.179835171593751
2004-2005,2004-11-06,New York Knicks,73,107,Boston Celtics,0OT,0,1,6.75,18.75,2.869490344007544,6.179835171593751
2004-2005,2004-11-06,Indiana Pacers,100,90,Chicago Bulls,0OT,1,1,20.15625,14.5,6.777645659928656,4.0
2004-2005,2004-11-06,Minnesota Timberwolves,99,92,New Orleans Pelicans,0OT,0,1,16.6875,18.75,6.272581901676985,6.179835171593751
2004-2005,2004-11-06,Brooklyn Nets,80,112,Phoenix Suns,0OT,1,1,21.25,18.75,6.869490344007544,6.179835171593751
2004-2005,2004-11-06,Dallas Mavericks,112,88,Memphis Grizzlies,0OT,0,1,11.8125,18.75,5.541084802221465,6.179835171593751
2004-2005,2004-11-06,Houston Rockets,104,101,Sacramento Kings,1OT,1,0,23.8125,11.8125,8.851429629807672,5.541084802221465
2004-2005,2004-11-06,Milwaukee Bucks,102,88,Cleveland Cavaliers,0OT,0,0,6.75,17.15625,2.869490344007544,6.549346016646848
2004-2005,2004-11-06,Denver Nuggets,82,106,Utah Jazz,0OT,0,1,15.0,18.75,6.074686015883361,6.179835171593751
2004-2005,2004-11-06,Golden State Warriors,86,94,Los Angeles Clippers,0OT,1,1,18.75,18.75,6.179835171593751,6.179835171593751
2004-2005,2004-11-07,Toronto Raptors,101,97,Portland Trail Blazers,0OT,0,0,14.0625,14.0625,5.75363964251832,5.75363964251832
2004-2005,2004-11-07,Oklahoma City Thunder,113,94,San Antonio Spurs,0OT,0,0,14.0625,14.0625,5.75363964251832,5.75363964251832
2004-2005,2004-11-07,Los Angeles Lakers,106,90,Atlanta Hawks,0OT,0,0,17.859375,14.0625,8.240986207062315,5.75363964251832
2004-2005,2004-11-08,Dallas Mavericks,101,98,Golden State Warriors,1OT,0,0,15.64453125,19.546875,7.885197171010044,8.43888209285594
2004-2005,2004-11-08,Utah Jazz,102,91,Denver Nuggets,0OT,0,0,19.546875,17.4375,8.43888209285594,8.347736154077253
2004-2005,2004-11-08,Los Angeles Clippers,96,99,Detroit Pistons,2OT,0,0,19.546875,18.59765625,8.43888209285594,8.267340950473594
2004-2005,2004-11-09,Orlando Magic,94,84,Dallas Mavericks,0OT,0,1,14.66015625,24.9833984375,7.856890224383116,10.996562883354178
2004-2005,2004-11-09,Atlanta Hawks,79,93,Cleveland Cavaliers,0OT,0,0,16.91015625,13.98779296875,8.06944506467997,8.155101793663533
2004-2005,2004-11-09,Miami Heat,103,93,Washington Wizards,0OT,0,0,13.39453125,13.39453125,7.67264233071319,7.67264233071319
2004-2005,2004-11-09,Brooklyn Nets,64,60,Portland Trail Blazers,0OT,0,0,15.71484375,16.91015625,8.413472403177682,8.06944506467997
2004-2005,2004-11-09,New York Knicks,96,88,Philadelphia 76ers,0OT,0,0,9.59765625,14.66015625,5.185295766169195,7.856890224383116
2004-2005,2004-11-09,Minnesota Timberwolves,101,102,Indiana Pacers,0OT,0,0,13.7900390625,15.25341796875,7.931740931186523,8.339349687333458
2004-2005,2004-11-09,New Orleans Pelicans,98,106,Los Angeles Lakers,0OT,0,0,14.66015625,19.0458984375,7.856890224383116,10.225539768071851
2004-2005,2004-11-09,Chicago Bulls,74,94,Phoenix Suns,0OT,0,0,12.8671875,14.66015625,6.097666981016031,7.856890224383116
2004-2005,2004-11-09,Houston Rockets,90,87,Memphis Grizzlies,0OT,0,0,17.4990234375,14.66015625,10.31189017194245,7.856890224383116
2004-2005,2004-11-09,Denver Nuggets,88,108,Oklahoma City Thunder,0OT,1,0,25.078125,16.91015625,11.08237504000296,8.06944506467997
2004-2005,2004-11-09,Sacramento Kings,108,92,Toronto Raptors,0OT,0,0,12.4365234375,16.91015625,7.640295713728528,8.06944506467997
2004-2005,2004-11-10,Boston Celtics,90,88,Portland Trail Blazers,0OT,0,1,10.9951171875,24.6826171875,7.315035726149797,10.823276439529627
2004-2005,2004-11-10,Indiana Pacers,68,102,Los Angeles Clippers,0OT,1,0,23.4400634765625,21.8701171875,11.074566950275978,11.039173657184278
2004-2005,2004-11-10,Philadelphia 76ers,108,100,Brooklyn Nets,1OT,1,1,22.9951171875,23.7861328125,10.625380553736004,11.143577754682669
2004-2005,2004-11-10,Washington Wizards,106,96,Orlando Magic,0OT,1,1,22.0458984375,22.9951171875,10.453839411353659,10.625380553736004
2004-2005,2004-11-10,Cleveland Cavaliers,114,109,Phoenix Suns,1OT,1,1,22.4908447265625,22.9951171875,10.903025807893634,10.625380553736004
2004-2005,2004-11-10,Memphis Grizzlies,110,87,Los Angeles Lakers,0OT,1,1,22.9951171875,26.284423828125,10.625380553736004,12.830674956480689
2004-2005,2004-11-10,Milwaukee Bucks,102,100,Charlotte Hornets,0OT,0,0,7.1982421875,7.91015625,4.827689161605802,4.987399880375571
2004-2005,2004-11-10,San Antonio Spurs,91,71,Golden State Warriors,0OT,0,0,12.6826171875,20.9326171875,7.5129316119434195,10.718127283819237
2004-2005,2004-11-10,Utah Jazz,95,104,Toronto Raptors,0OT,0,1,19.9951171875,24.6826171875,10.397080910454196,10.823276439529627
2004-2005,2004-11-10,Oklahoma City Thunder,108,78,Sacramento Kings,0OT,1,1,24.6826171875,21.327392578125,10.823276439529627,10.423723595540354
2004-2005,2004-11-11,Miami Heat,93,113,Dallas Mavericks,0OT,0,0,16.534423828125,23.05316162109375,9.732884969191337,12.614143093894405
2004-2005,2004-11-11,Houston Rockets,91,96,Minnesota Timberwolves,0OT,0,0,18.84320068359375,16.75689697265625,12.020651528354392,9.957478167461325
2004-2005,2004-11-11,Denver Nuggets,117,109,Detroit Pistons,0OT,0,0,23.1064453125,16.00213623046875,12.68852723443776,10.139410058968048
2004-2005,2004-11-12,Orlando Magic,122,113,Los Angeles Lakers,0OT,0,0,21.93475341796875,23.784988403320312,12.29239289378543,14.203997673334626
2004-2005,2004-11-12,Philadelphia 76ers,106,104,Indiana Pacers,1OT,0,0,22.87225341796875,22.185035705566406,12.61343926715047,12.681758985435419
2004-2005,2004-11-12,Boston Celtics,91,74,Charlotte Hornets,0OT,0,0,15.18475341796875,13.449462890625,9.422902549777886,7.4052491234171125
2004-2005,2004-11-12,New York Knicks,110,96,Los Angeles Clippers,0OT,0,0,10.79901123046875,21.30194091796875,7.054253006089149,12.65107918678637
2004-2005,2004-11-12,Memphis Grizzlies,96,67,Golden State Warriors,0OT,0,0,21.93475341796875,20.77459716796875,12.29239289378543,12.372788097389089
2004-2005,2004-11-12,New Orleans Pelicans,95,96,Atlanta Hawks,0OT,0,0,12.93475341796875,13.88397216796875,9.21034770948103,9.381888851863375
2004-2005,2004-11-12,San Antonio Spurs,93,84,Miami Heat,0OT,0,1,16.13397216796875,24.40081787109375,9.594443692160228,12.371996350626416
2004-2005,2004-11-12,Oklahoma City Thunder,88,87,Toronto Raptors,0OT,0,0,22.88397216796875,22.88397216796875,12.463934036167773,12.463934036167773
2004-2005,2004-11-13,Cleveland Cavaliers,105,74,Washington Wizards,0OT,0,0,16.941450119018555,16.050613403320312,11.967618884610701,11.306200382700153
2004-2005,2004-11-13,Brooklyn Nets,78,94,Dallas Mavericks,0OT,0,0,17.487899780273438,21.967403411865234,12.161754928263518,14.016302396491106
2004-2005,2004-11-13,Atlanta Hawks,88,103,San Antonio Spurs,0OT,1,1,22.412979125976562,24.100479125976562,12.045206862079693,12.243102747873316
2004-2005,2004-11-13,Charlotte Hornets,87,103,Golden State Warriors,0OT,1,1,22.08709716796875,27.580947875976562,10.204887114905587,14.829837194120875
2004-2005,2004-11-13,Indiana Pacers,103,97,New York Knicks,0OT,1,1,29.888776779174805,20.099258422851562,15.462327331267458,9.878097626358862
2004-2005,2004-11-13,Chicago Bulls,96,97,Los Angeles Clippers,0OT,0,1,9.133758544921875,27.976455688476562,7.253295702921668,15.088935794594207
2004-2005,2004-11-13,Houston Rockets,79,84,Los Angeles Lakers,0OT,0,1,19.599300384521484,29.838741302490234,13.50184894669483,16.53475645448396
2004-2005,2004-11-13,Milwaukee Bucks,94,91,New Orleans Pelicans,0OT,0,1,9.786758422851562,21.701065063476562,6.76564868456628,11.885496143309924
2004-2005,2004-11-13,Phoenix Suns,111,113,Sacramento Kings,0OT,0,0,17.154190063476562,15.747493743896484,11.743546903898713,11.281895589446913
2004-2005,2004-11-13,Utah Jazz,108,93,Detroit Pistons,0OT,0,0,15.185440063476562,18.001201629638672,11.260393766061336,11.871141418534728
2004-2005,2004-11-13,Portland Trail Blazers,105,102,Toronto Raptors,0OT,0,1,17.162979125976562,29.162979125976562,11.60435237850103,14.914697206087236
2004-2005,2004-11-14,Washington Wizards,113,122,Dallas Mavericks,0OT,1,1,24.037960052490234,28.475552558898926,13.836807252858762,16.36000567949172
2004-2005,2004-11-14,Philadelphia 76ers,96,87,Orlando Magic,0OT,0,0,22.803142547607422,21.338298797607422,14.33673867509238,13.737401212330056
2004-2005,2004-11-14,Miami Heat,112,110,Milwaukee Bucks,2OT,0,1,22.725460052490234,19.340068817138672,13.806403495370578,9.609397051147916
2004-2005,2004-11-14,Oklahoma City Thunder,118,113,Memphis Grizzlies,0OT,0,0,21.872234344482422,21.338298797607422,13.886097398770875,13.737401212330056
2004-2005,2004-11-14,Sacramento Kings,101,89,Denver Nuggets,0OT,1,0,23.810620307922363,16.498031616210938,13.814178652243676,13.109692138072015
2004-2005,2004-11-15,Cleveland Cavaliers,99,88,Golden State Warriors,0OT,0,0,18.529565691947937,24.514283180236816,13.455878914246373,15.93692189597398
2004-2005,2004-11-15,Brooklyn Nets,69,80,Houston Rockets,0OT,0,0,18.83694362640381,20.024606466293335,13.624160930682644,14.78578820706365
2004-2005,2004-11-16,Charlotte Hornets,105,107,Utah Jazz,0OT,0,0,16.067994117736816,13.156357526779175,11.105284885919334,11.957125363786348
2004-2005,2004-11-16,Philadelphia 76ers,95,103,Oklahoma City Thunder,0OT,0,0,21.826767683029175,21.303131818771362,15.509491669610396,15.118864451491046
2004-2005,2004-11-16,Atlanta Hawks,88,84,Houston Rockets,0OT,0,1,16.205475568771362,27.01845484972,12.590504189032538,17.076423503128225
2004-2005,2004-11-16,Minnesota Timberwolves,108,97,Miami Heat,0OT,0,0,7.7733651995658875,23.658071279525757,9.453261939613082,15.69187651382301
2004-2005,2004-11-16,Dallas Mavericks,101,107,Phoenix Suns,0OT,0,0,25.017498314380646,13.986923933029175,17.26331051171161,12.347051281702338
2004-2005,2004-11-16,San Antonio Spurs,99,81,New York Knicks,0OT,0,0,16.917389631271362,15.229374647140503,12.750214907802304,10.841551337882711
2004-2005,2004-11-16,Sacramento Kings,113,106,Chicago Bulls,0OT,0,0,22.39347392320633,10.603304386138916,15.056523469067349,8.72322027637899
2004-2005,2004-11-16,Los Angeles Clippers,101,89,Toronto Raptors,0OT,0,0,18.55256724357605,19.053131818771362,15.046927846365072,14.906309611194187
2004-2005,2004-11-17,Indiana Pacers,93,86,Atlanta Hawks,0OT,0,1,14.519495777785778,24.15410667657852,14.289769835830608,15.032538382892362
2004-2005,2004-11-17,Orlando Magic,107,92,Utah Jazz,0OT,0,1,15.752094805240631,21.86726814508438,13.956179755721534,14.442840855939012
2004-2005,2004-11-17,Washington Wizards,110,105,Boston Celtics,1OT,0,0,16.891014397144318,7.400288164615631,14.036404820124606,9.079290894762927
2004-2005,2004-11-17,Detroit Pistons,93,85,Minnesota Timberwolves,0OT,0,1,10.758192703127861,17.830023899674416,11.591403228147673,12.111657667915628
2004-2005,2004-11-17,Brooklyn Nets,68,79,Oklahoma City Thunder,0OT,0,1,19.595780789852142,27.97734886407852,14.89181131803525,17.38652897207787
2004-2005,2004-11-17,New Orleans Pelicans,84,95,Phoenix Suns,0OT,0,1,11.928852617740631,22.49019294977188,11.602189166536027,14.805875331240108
2004-2005,2004-11-17,Denver Nuggets,112,106,Toronto Raptors,0OT,0,1,13.71010708808899,26.28984886407852,13.449590813632025,17.18863308628424
2004-2005,2004-11-17,Milwaukee Bucks,106,113,Miami Heat,0OT,0,1,16.315341532230377,29.743553459644318,11.222508596405937,17.92002296114556
2004-2005,2004-11-17,Portland Trail Blazers,82,101,Memphis Grizzlies,0OT,0,0,10.492973864078522,15.752094805240631,11.39094169415404,13.956179755721534
2004-2005,2004-11-17,Golden State Warriors,98,85,Chicago Bulls,0OT,0,1,22.78928428888321,19.952478289604187,16.896570823026195,11.431963705594232
2004-2005,2004-11-17,Los Angeles Lakers,103,89,Los Angeles Clippers,0OT,0,1,14.50366424024105,25.914425432682037,15.095578002134104,17.319553512132998
2004-2005,2004-11-18,Charlotte Hornets,89,106,Cleveland Cavaliers,0OT,0,0,18.03824669122696,14.567160526290536,12.708386066391432,13.728978829353862
2004-2005,2004-11-18,Philadelphia 76ers,80,88,San Antonio Spurs,0OT,0,0,21.27755682170391,18.51603166759014,16.526063528116502,14.134252874896408
2004-2005,2004-11-18,Houston Rockets,92,93,New York Knicks,0OT,0,0,24.1978808529675,17.566523239016533,17.884319540761563,12.479775178735428
2004-2005,2004-11-19,Toronto Raptors,94,101,Oklahoma City Thunder,0OT,0,0,23.78803998604417,24.73725873604417,17.981585636029976,18.153126778412325
2004-2005,2004-11-19,Boston Celtics,84,92,San Antonio Spurs,0OT,0,1,14.100162092596292,25.887023750692606,11.27324977679212,16.469821642144932
2004-2005,2004-11-19,Miami Heat,107,105,Utah Jazz,1OT,0,0,25.73074882104993,21.300338331609964,18.61557281649835,15.601463714601119
2004-2005,2004-11-19,Detroit Pistons,82,97,Indiana Pacers,0OT,0,0,15.051483395509422,17.1672163750045,13.129765699547743,15.468777895743774
2004-2005,2004-11-19,Dallas Mavericks,103,101,New York Knicks,0OT,0,1,17.304257101379335,25.1748924292624,16.801744261840156,14.929445856064019
2004-2005,2004-11-19,Denver Nuggets,99,81,Chicago Bulls,0OT,0,0,16.711935237050056,20.223269037902355,14.740489539997318,12.991559502233287
2004-2005,2004-11-19,Phoenix Suns,107,102,Los Angeles Lakers,0OT,0,0,21.650733534246683,17.15831113513559,15.916151149196239,16.167272727176886
2004-2005,2004-11-19,Portland Trail Blazers,110,98,Milwaukee Bucks,0OT,0,0,14.902297798544168,18.177379611879587,12.956000588630552,12.809998533626548
2004-2005,2004-11-19,Sacramento Kings,107,105,Memphis Grizzlies,0OT,0,0,16.19724681135267,17.860553327947855,15.020769668360844,15.179613605137927
2004-2005,2004-11-20,Los Angeles Clippers,86,91,Houston Rockets,1OT,0,0,17.682648229412735,22.61130797979422,16.84713484682905,18.584624191694623
2004-2005,2004-11-20,Atlanta Hawks,79,92,Utah Jazz,0OT,0,1,16.940013754181564,29.225253748707473,15.001412644654161,18.180673113594146
2004-2005,2004-11-20,Cleveland Cavaliers,100,84,Charlotte Hornets,0OT,0,0,17.194027796038426,19.146513763815165,14.982670114862028,14.097994580736449
2004-2005,2004-11-20,Indiana Pacers,83,86,Orlando Magic,0OT,1,0,24.875412281253375,13.395414995960891,17.712310454657995,14.132743701335311
2004-2005,2004-11-20,Brooklyn Nets,86,97,Washington Wizards,0OT,0,0,15.016970020718873,14.579021698795259,14.887839688912534,14.496394115154887
2004-2005,2004-11-20,New Orleans Pelicans,94,99,Minnesota Timberwolves,0OT,0,0,11.782484698109329,14.272041332675144,12.232969345398688,12.644132923760026
2004-2005,2004-11-20,Golden State Warriors,87,100,Memphis Grizzlies,0OT,0,1,16.364229309372604,25.39541499596089,16.50576913812065,17.443088528921518
2004-2005,2004-11-21,Toronto Raptors,96,91,San Antonio Spurs,0OT,0,0,22.380772492149845,23.56145085976459,18.66893689496534,17.3585017563896
2004-2005,2004-11-21,Los Angeles Clippers,111,122,Phoenix Suns,0OT,1,0,26.51198617205955,21.17853761301376,19.340435891875323,16.878566216128487
2004-2005,2004-11-21,Boston Celtics,102,83,Oklahoma City Thunder,0OT,0,0,16.931341177085415,22.914708039024845,12.853982267873311,18.817633081406164
2004-2005,2004-11-21,Detroit Pistons,117,116,Charlotte Hornets,2OT,0,1,17.46645940997405,26.359885322861373,14.463257068930206,16.436063919996005
2004-2005,2004-11-21,Miami Heat,93,83,Philadelphia 76ers,0OT,0,0,24.411046211840585,15.726469284156337,19.53953933796349,16.20675338980348
2004-2005,2004-11-21,New York Knicks,98,88,Cleveland Cavaliers,0OT,0,1,23.1608769914601,24.89552084702882,16.023265195089976,17.25972734831982
2004-2005,2004-11-21,Portland Trail Blazers,93,97,Houston Rockets,0OT,0,1,17.382542511681095,30.208480984845664,14.312633090501393,20.958098385370853
2004-2005,2004-11-21,Denver Nuggets,110,82,Dallas Mavericks,0OT,0,0,18.400463570840657,18.733644619525876,15.859473097096366,17.646220650275236
2004-2005,2004-11-21,Sacramento Kings,88,79,Milwaukee Bucks,0OT,0,0,18.110951331385877,19.224776031682268,16.102426977687344,14.18607482879162
2004-2005,2004-11-21,Los Angeles Lakers,102,93,Chicago Bulls,0OT,0,0,18.65155001351377,20.375588833820075,17.09624473021635,14.34345645318438
2004-2005,2004-11-22,Memphis Grizzlies,93,90,San Antonio Spurs,0OT,0,1,23.284920935228,29.671088144823443,18.202154028042553,19.471708531811007
2004-2005,2004-11-22,Dallas Mavericks,82,83,Minnesota Timberwolves,0OT,1,0,26.050233464644407,17.02802324962977,19.7395847433597,14.042298337004825
2004-2005,2004-11-22,Phoenix Suns,100,82,Chicago Bulls,0OT,1,1,27.88390320976032,27.281691625365056,19.02487199432652,16.664597387447525
2004-2005,2004-11-22,Utah Jazz,75,76,New Orleans Pelicans,0OT,0,0,25.439205233647954,15.627647642686497,18.841510939132142,13.685891382634534
2004-2005,2004-11-23,Charlotte Hornets,91,89,Detroit Pistons,0OT,0,0,25.702435494109523,20.699883418110403,17.971332458593444,16.261253749405615
2004-2005,2004-11-23,Indiana Pacers,106,96,Boston Celtics,0OT,0,0,17.244314556153768,18.523879412110546,17.164107043299573,14.224201038382454
2004-2005,2004-11-23,Washington Wizards,102,86,Toronto Raptors,0OT,0,0,12.90052477917925,21.589184526834288,14.568720544860126,19.264750293019897
2004-2005,2004-11-23,Miami Heat,87,99,Portland Trail Blazers,0OT,0,0,22.73121349416033,18.777680162820616,20.019410436831606,15.48859634123129
2004-2005,2004-11-23,New York Knicks,104,88,Atlanta Hawks,0OT,0,0,22.027993307696306,13.896568302545347,16.97141537124922,14.976292799406611
2004-2005,2004-11-23,Minnesota Timberwolves,92,103,Oklahoma City Thunder,0OT,1,0,24.771017437222326,21.889523271951475,16.384208796521733,19.393643895773
2004-2005,2004-11-23,Denver Nuggets,90,88,Brooklyn Nets,0OT,0,0,19.35026075859787,13.085284227490774,16.82943625182313,14.884634408826331
2004-2005,2004-11-23,Sacramento Kings,102,96,Houston Rockets,0OT,0,0,19.187410123904556,25.992270553975686,17.04003479992161,21.249053178282225
2004-2005,2004-11-23,Golden State Warriors,115,109,New Orleans Pelicans,3OT,0,1,13.653659239891567,23.720735732014873,16.190374920891742,16.052381632108013
2004-2005,2004-11-23,Los Angeles Lakers,100,96,Milwaukee Bucks,0OT,0,0,19.491496882601496,19.813936517821276,17.901501080056736,15.378892449689763
2004-2005,2004-11-24,Cleveland Cavaliers,92,76,Detroit Pistons,0OT,0,1,17.252797857340283,27.524912563582802,16.798852490753166,18.450132801170746
2004-2005,2004-11-24,Orlando Magic,83,89,Portland Trail Blazers,0OT,0,1,9.30089302606575,26.083260122115462,13.290739388420358,17.730762110801546
2004-2005,2004-11-24,Philadelphia 76ers,110,97,Boston Celtics,0OT,0,1,13.384604229253455,25.89290955908291,15.949056007687968,16.55356648401125
2004-2005,2004-11-24,Toronto Raptors,114,91,New York Knicks,0OT,1,1,28.191888395125716,28.52099498077223,21.24649165212197,19.11131775943893
2004-2005,2004-11-24,Atlanta Hawks,93,99,Miami Heat,0OT,1,1,22.42242622690901,29.048410120620247,17.253789847723397,21.94910626877425
2004-2005,2004-11-24,Memphis Grizzlies,84,93,Oklahoma City Thunder,0OT,0,1,22.09776802606575,28.417142453963606,18.860131137268752,21.366496040892102
2004-2005,2004-11-24,San Antonio Spurs,94,80,Dallas Mavericks,0OT,0,0,25.689987081463187,23.65325632386248,19.96061298417387,20.19281483699075
2004-2005,2004-11-24,Phoenix Suns,111,104,Milwaukee Bucks,0OT,0,1,24.68469555549018,26.860452388365957,19.573283809588624,17.628624004883573
2004-2005,2004-11-24,Utah Jazz,99,101,Chicago Bulls,0OT,0,0,23.309552943926974,24.345951539267844,19.41434182476496,17.527338282341553
2004-2005,2004-11-25,Indiana Pacers,106,102,Minnesota Timberwolves,0OT,0,0,18.699926937836494,22.93369730843756,17.960325843716276,17.28429038366747
2004-2005,2004-11-25,Los Angeles Clippers,101,88,Brooklyn Nets,0OT,0,0,13.451058124753217,16.36047237796356,17.203726087388336,15.98442150301355
2004-2005,2004-11-26,Dallas Mavericks,92,83,Portland Trail Blazers,0OT,0,0,22.304956682172644,23.671833818689947,20.585686107213146,18.45151674051644
2004-2005,2004-11-26,Philadelphia 76ers,116,114,Washington Wizards,1OT,0,0,16.52883987895507,12.192408891216246,16.907088976937608,14.627091167513298
2004-2005,2004-11-26,Atlanta Hawks,99,117,Orlando Magic,0OT,0,0,21.61261475263632,14.231752327161985,18.03806515932266,14.60279312028352
2004-2005,2004-11-26,Boston Celtics,96,98,Cleveland Cavaliers,0OT,0,0,23.564761626984136,18.70469879475391,17.43109389636647,17.643713990201018
2004-2005,2004-11-26,Detroit Pistons,78,77,Miami Heat,0OT,0,0,24.482763317015326,25.33973069284889,19.07508538888641,22.108083793027856
2004-2005,2004-11-26,Indiana Pacers,82,77,Charlotte Hornets,0OT,1,0,26.02494520337737,17.593214974077455,20.03202750966688,17.373149238693458
2004-2005,2004-11-26,Minnesota Timberwolves,115,90,Memphis Grizzlies,0OT,1,0,29.20027298132817,21.429994514661985,19.402615184793852,19.43048228188932
2004-2005,2004-11-26,Denver Nuggets,75,89,San Antonio Spurs,0OT,0,0,14.913391257533476,23.450617733323043,16.451588574547323,20.384407687827288
2004-2005,2004-11-26,Phoenix Suns,95,86,New Orleans Pelicans,0OT,0,0,22.885141249963226,18.866560386943775,20.048660995469803,16.721186914788717
2004-2005,2004-11-26,Utah Jazz,90,80,Houston Rockets,0OT,0,0,22.111623530958923,17.715489139958493,19.910886076401493,20.018414601177945
2004-2005,2004-11-26,Golden State Warriors,87,98,Los Angeles Clippers,0OT,0,1,14.619512491829255,22.088293593564913,16.832553592517616,19.327607046878796
2004-2005,2004-11-26,Los Angeles Lakers,106,109,Sacramento Kings,0OT,0,0,14.972975247347506,14.844688646022234,17.31679223251288,16.621550902737177
2004-2005,2004-11-26,Oklahoma City Thunder,92,79,Brooklyn Nets,0OT,0,1,24.98464263035453,24.27035428347267,21.603062561011107,18.1923924338402
2004-2005,2004-11-27,New York Knicks,108,102,Toronto Raptors,0OT,0,0,18.782294757513284,18.64345291669366,18.29316771737408,20.016347336451542
2004-2005,2004-11-27,Charlotte Hornets,107,92,Atlanta Hawks,0OT,1,1,25.19491123055809,28.20946106447724,19.485345842921493,20.104405493162474
2004-2005,2004-11-27,Orlando Magic,105,99,Philadelphia 76ers,0OT,1,1,22.67381424537149,25.6466299092163,16.90604876716052,19.396255254390184
2004-2005,2004-11-27,Cleveland Cavaliers,96,74,Chicago Bulls,0OT,1,0,26.028524096065432,17.02094830562862,19.73725095639405,17.014826332007413
2004-2005,2004-11-27,Memphis Grizzlies,85,98,Dallas Mavericks,0OT,1,1,28.07249588599649,28.728717511629483,21.40079384865557,22.47632844464672
2004-2005,2004-11-27,Houston Rockets,76,82,Denver Nuggets,0OT,1,1,25.28661685496887,23.185043443150107,21.948179111441533,18.627341086647508
